CODIGO,ESPECIE,ESPECIE,LONGITUD_mm
1.1.3,Salmo trutta,Nativo,171
1.1.3,Salmo trutta,Nativo,177
1.1.3,Salmo trutta,Nativo,179
1.1.3,Salmo trutta,Nativo,180
1.1.3,Salmo trutta,Nativo,181
1.1.3,Salmo trutta,Nativo,182
1.1.3,Salmo trutta,Nativo,182
1.1.3,Salmo trutta,Nativo,183
1.1.3,Salmo trutta,Nativo,184
1.1.3,Salmo trutta,Nativo,185
1.1.3,Salmo trutta,Nativo,185
1.1.3,Salmo trutta,Nativo,185
1.1.3,Salmo trutta,Nativo,185
1.1.3,Salmo trutta,Nativo,186
1.1.3,Salmo trutta,Nativo,191
1.1.3,Salmo trutta,Nativo,192
1.1.3,Salmo trutta,Nativo,199
1.1.3,Salmo trutta,Nativo,201
1.1.3,Salmo trutta,Nativo,203
1.1.3,Salmo trutta,Nativo,205
1.1.3,Salmo trutta,Nativo,206
1.1.3,Salmo trutta,Nativo,215
1.1.3,Salmo trutta,Nativo,220
1.1.3,Salmo trutta,Nativo,221
1.1.3,Salmo trutta,Nativo,235
1.1.3,Salmo trutta,Nativo,237
1.1.3,Salmo trutta,Nativo,243
1.1.3,Salmo trutta,Nativo,246
1.1.3,Salmo trutta,Nativo,249
1.1.3,Salmo trutta,Nativo,257
1.1.3,Salmo trutta,Nativo,259
1.1.3,Salmo trutta,Nativo,259
1.1.3,Salmo trutta,Nativo,269
1.1.3,Salmo trutta,Nativo,280
1.1.3,Salmo trutta,Nativo,287
1.1.3,Salmo trutta,Nativo,289
1.1.4,Salmo trutta,Nativo,232
1.1.8,Luciobarbus sclateri,Nativo,38
1.1.8,Luciobarbus sclateri,Nativo,61
1.1.8,Luciobarbus sclateri,Nativo,66
1.1.8,Luciobarbus sclateri,Nativo,71
1.1.8,Luciobarbus sclateri,Nativo,72
1.1.8,Luciobarbus sclateri,Nativo,74
1.1.8,Luciobarbus sclateri,Nativo,75
1.1.8,Luciobarbus sclateri,Nativo,76
1.1.8,Luciobarbus sclateri,Nativo,83
1.1.8,Luciobarbus sclateri,Nativo,92
1.1.8,Luciobarbus sclateri,Nativo,94
1.1.8,Luciobarbus sclateri,Nativo,100
1.1.8,Luciobarbus sclateri,Nativo,104
1.1.8,Squalius pyrenaicus,Nativo,36
1.1.8,Squalius pyrenaicus,Nativo,41
1.1.8,Squalius pyrenaicus,Nativo,42
1.1.8,Squalius pyrenaicus,Nativo,58
1.1.8,Squalius pyrenaicus,Nativo,70
1.1.8,Squalius pyrenaicus,Nativo,74
1.1.8,Squalius pyrenaicus,Nativo,75
1.1.8,Squalius pyrenaicus,Nativo,81
1.1.9,Squalius pyrenaicus,Nativo,juveniles
1.1.9,Squalius pyrenaicus,Nativo,51
1.1.9,Squalius pyrenaicus,Nativo,52
1.1.9,Squalius pyrenaicus,Nativo,54
1.1.9,Squalius pyrenaicus,Nativo,57
1.1.9,Squalius pyrenaicus,Nativo,59
1.1.9,Squalius pyrenaicus,Nativo,60
1.1.9,Squalius pyrenaicus,Nativo,60
1.1.9,Squalius pyrenaicus,Nativo,62
1.1.9,Squalius pyrenaicus,Nativo,64
1.1.9,Squalius pyrenaicus,Nativo,65
1.1.9,Squalius pyrenaicus,Nativo,71
1.1.9,Squalius pyrenaicus,Nativo,73
1.1.9,Squalius pyrenaicus,Nativo,75
1.1.9,Squalius pyrenaicus,Nativo,79
1.1.9,Squalius pyrenaicus,Nativo,83
1.1.9,Squalius pyrenaicus,Nativo,84
1.1.9,Squalius pyrenaicus,Nativo,95
1.1.9,Squalius pyrenaicus,Nativo,112
1.1.9,Squalius pyrenaicus,Nativo,120
1.10.10,Squalius pyrenaicus,Nativo,139
1.10.11,Iberochondrostoma lemmingii,Nativo,37
1.10.11,Iberochondrostoma lemmingii,Nativo,38
1.10.11,Iberochondrostoma lemmingii,Nativo,39
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,40
1.10.11,Iberochondrostoma lemmingii,Nativo,41
1.10.11,Iberochondrostoma lemmingii,Nativo,41
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,42
1.10.11,Iberochondrostoma lemmingii,Nativo,43
1.10.11,Iberochondrostoma lemmingii,Nativo,43
1.10.11,Iberochondrostoma lemmingii,Nativo,43
1.10.11,Iberochondrostoma lemmingii,Nativo,44
1.10.11,Iberochondrostoma lemmingii,Nativo,44
1.10.11,Iberochondrostoma lemmingii,Nativo,45
1.10.11,Iberochondrostoma lemmingii,Nativo,45
1.10.11,Iberochondrostoma lemmingii,Nativo,45
1.10.11,Iberochondrostoma lemmingii,Nativo,46
1.10.11,Iberochondrostoma lemmingii,Nativo,46
1.10.11,Iberochondrostoma lemmingii,Nativo,48
1.10.11,Iberochondrostoma lemmingii,Nativo,50
1.10.11,Iberochondrostoma lemmingii,Nativo,50
1.10.11,Iberochondrostoma lemmingii,Nativo,50
1.10.11,Iberochondrostoma lemmingii,Nativo,50
1.10.11,Iberochondrostoma lemmingii,Nativo,50
1.10.11,Iberochondrostoma lemmingii,Nativo,51
1.10.11,Iberochondrostoma lemmingii,Nativo,51
1.10.11,Iberochondrostoma lemmingii,Nativo,51
1.10.11,Iberochondrostoma lemmingii,Nativo,51
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,52
1.10.11,Iberochondrostoma lemmingii,Nativo,53
1.10.11,Iberochondrostoma lemmingii,Nativo,53
1.10.11,Iberochondrostoma lemmingii,Nativo,53
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,54
1.10.11,Iberochondrostoma lemmingii,Nativo,55
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,56
1.10.11,Iberochondrostoma lemmingii,Nativo,57
1.10.11,Iberochondrostoma lemmingii,Nativo,58
1.10.11,Iberochondrostoma lemmingii,Nativo,58
1.10.11,Iberochondrostoma lemmingii,Nativo,58
1.10.11,Iberochondrostoma lemmingii,Nativo,58
1.10.11,Iberochondrostoma lemmingii,Nativo,58
1.10.11,Iberochondrostoma lemmingii,Nativo,59
1.10.11,Iberochondrostoma lemmingii,Nativo,60
1.10.11,Iberochondrostoma lemmingii,Nativo,60
1.10.11,Iberochondrostoma lemmingii,Nativo,60
1.10.11,Iberochondrostoma lemmingii,Nativo,61
1.10.11,Iberochondrostoma lemmingii,Nativo,61
1.10.11,Iberochondrostoma lemmingii,Nativo,61
1.10.11,Iberochondrostoma lemmingii,Nativo,63
1.10.11,Iberochondrostoma lemmingii,Nativo,64
1.10.11,Iberochondrostoma lemmingii,Nativo,64
1.10.11,Iberochondrostoma lemmingii,Nativo,64
1.10.11,Iberochondrostoma lemmingii,Nativo,64
1.10.11,Iberochondrostoma lemmingii,Nativo,65
1.10.11,Iberochondrostoma lemmingii,Nativo,65
1.10.11,Iberochondrostoma lemmingii,Nativo,65
1.10.11,Iberochondrostoma lemmingii,Nativo,65
1.10.11,Iberochondrostoma lemmingii,Nativo,66
1.10.11,Iberochondrostoma lemmingii,Nativo,70
1.10.11,Iberochondrostoma lemmingii,Nativo,89
1.10.11,Iberochondrostoma lemmingii,Nativo,91
1.10.11,Iberochondrostoma lemmingii,Nativo,93
1.10.11,Iberochondrostoma lemmingii,Nativo,94
1.10.11,Iberochondrostoma lemmingii,Nativo,97
1.10.11,Iberochondrostoma lemmingii,Nativo,107
1.10.11,Squalius alburnoides,Nativo,juveniles
1.10.11,Squalius alburnoides,Nativo,41
1.10.11,Squalius alburnoides,Nativo,41
1.10.11,Squalius alburnoides,Nativo,41
1.10.11,Squalius alburnoides,Nativo,41
1.10.11,Squalius alburnoides,Nativo,42
1.10.11,Squalius alburnoides,Nativo,42
1.10.11,Squalius alburnoides,Nativo,42
1.10.11,Squalius alburnoides,Nativo,42
1.10.11,Squalius alburnoides,Nativo,42
1.10.11,Squalius alburnoides,Nativo,43
1.10.11,Squalius alburnoides,Nativo,43
1.10.11,Squalius alburnoides,Nativo,43
1.10.11,Squalius alburnoides,Nativo,43
1.10.11,Squalius alburnoides,Nativo,43
1.10.11,Squalius alburnoides,Nativo,44
1.10.11,Squalius alburnoides,Nativo,44
1.10.11,Squalius alburnoides,Nativo,46
1.10.11,Squalius alburnoides,Nativo,46
1.10.11,Squalius alburnoides,Nativo,46
1.10.11,Squalius alburnoides,Nativo,46
1.10.11,Squalius alburnoides,Nativo,46
1.10.11,Squalius alburnoides,Nativo,47
1.10.11,Squalius alburnoides,Nativo,48
1.10.11,Squalius alburnoides,Nativo,49
1.10.11,Squalius alburnoides,Nativo,50
1.10.11,Squalius alburnoides,Nativo,51
1.10.11,Squalius alburnoides,Nativo,52
1.10.11,Squalius alburnoides,Nativo,54
1.10.11,Squalius alburnoides,Nativo,55
1.10.11,Squalius alburnoides,Nativo,58
1.10.11,Squalius alburnoides,Nativo,64
1.10.11,Squalius alburnoides,Nativo,69
1.10.11,Squalius alburnoides,Nativo,70
1.10.11,Squalius alburnoides,Nativo,70
1.10.11,Squalius alburnoides,Nativo,72
1.10.11,Squalius alburnoides,Nativo,73
1.10.11,Squalius alburnoides,Nativo,74
1.10.11,Squalius alburnoides,Nativo,74
1.10.11,Squalius alburnoides,Nativo,78
1.10.11,Squalius alburnoides,Nativo,78
1.10.11,Squalius alburnoides,Nativo,91
1.10.11,Luciobarbus sclateri,Nativo,57
1.10.11,Squalius pyrenaicus,Nativo,42
