CODIGO,ALTITUD,CODIGO_S,EMBALSES_SC,Demb arr.(m),Demb ab.(m),Dist.Guadalq.(m),UTMX,UTMY
1.25.5,36,25,3,10093,No existe,90559,215715.38,4153119.44
1.25.7,56,25,3,No existe,69703,69840,204324.65,4133940.43
1.25.8,64,25,3,No existe,71871,71869,199972.28,4134212.15
1.25.9,1,25,3,52638,No existe,48276,215312.04,4120297.66
1.25.10,244,25,3,6136,20975,124982,202760.23,4172703.71
1.25.11,127,25,3,21366,5794,109803,209113.04,4166840.54
1.25.12,196,25,3,No existe,13116,118015,199667.41,4164984.04
1.25.13,156,25,3,No existe,7667,112571,202364.25,4163466.16
1.25.15,77,25,3,No existe,11550,97985,214738.6,4159403.1
1.25.16,248,25,3,No existe,49500,127143,210377.78,4176207.02
1.25.17,192,25,3,No existe,39646,117296,216374.47,4171573.65
1.25.18,55,25,3,No existe,20729,98368,217785,4158845.56
1.25.20,24,25,3,No existe,29996,80600,212015,4144289.57
1.25.21,77,25,3,No existe,58347,81480,201770.18,4142568.56
1.25.22,27,25,3,No existe,43553,66705,208954.52,4133559.86
1.25.23,30,25,3,No existe,63925,63995,204856.01,4129099.11
1.25.27,62,25,3,No existe,75702,67482,221721.1,4135760.81
1.25.28,6,25,3,No existe,63040,54818,217345.48,4125241.02
1.25.29,14,25,3,28572,No existe,72401,212991.66,4137432.68
1.25.30,10,25,3,35464,No existe,65402,210956.58,4132162.63
1.26.1,581,26.1,0,No existe,No existe,980,514711,4225028
1.26.2,932,26.2,0,No existe,No existe,4217,510287,4223682
1.26.3,518,26.3,0,No existe,No existe,1072,503697,4221702
1.26.4,757,26.4,1,No existe,15444,13406,507492,4217099
1.26.5,524,26.4,1,No existe,11032,8995,503632,4215791
1.26.6,578,26.4,1,2497,No existe,7704,502295,4211755
1.26.7,443,26.4,1,7862,No existe,2339,498960,4214125
1.26.8,701,26.5,0,No existe,No existe,26354,501665,4206297
1.26.9,569,26.5,0,No existe,No existe,23188,500797,4202557
1.26.10,504,26.5,0,No existe,No existe,18428,498014,4201588
1.26.11,611,26.5,0,No existe,No existe,22231,499976,4199294
1.26.12,646,26.5,0,No existe,No existe,22412,499257,4197352
